remote_share,remote_attrition_coef,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
1.0,-1.0,2,990001001002,708,16740,2.106687898089172,1256,6069,0.8583218223435235,1
1.0,-1.0,3,990001001003,705,16733,2.2194915254237286,1180,6109,0.8945991997106034,0
1.0,-1.0,4,990001001004,716,16742,2.2157850545759867,1191,6029,0.8949322575079807,0
1.0,-1.0,5,990001001005,696,16754,2.1606391925988224,1189,6111,0.8948475859905513,1
1.0,-1.0,6,990001001006,716,16728,2.1605241605241607,1221,6122,0.8955042792005099,0
1.0,-1.0,7,990001001007,704,16750,2.128794093519278,1219,6095,0.8945550426568476,1
1.0,-1.0,8,990001001008,713,16753,2.0959555908009517,1261,6029,0.8958747611146658,0
1.0,-1.0,9,990001001009,706,16804,2.0222405271828667,1214,6121,0.8732503388691496,2
1.0,-1.0,10,990001001010,697,16687,2.232977850697293,1219,6116,0.872196441612061,1
1.0,-1.0,11,990001001011,693,16704,2.1824,1250,6068,0.8903825892404035,1
1.0,-1.0,12,990001001012,710,16700,2.2629382303839733,1198,6092,0.8936710707608786,1
1.0,-1.0,13,990001001013,710,16739,2.05748031496063,1270,6126,0.89387685526018,1
1.0,-1.0,14,990001001014,695,16755,2.086743044189853,1222,6169,0.8963946978950956,0
1.0,-1.0,15,990001001015,713,16782,2.0994152046783627,1197,6113,0.8954676543511251,0
1.0,-1.0,16,990001001016,693,16706,2.154516640253566,1262,6051,0.8908860832823067,1
1.0,-1.0,17,990001001017,718,16748,2.1145919208573782,1213,6155,0.8887710224322001,1
1.0,-1.0,18,990001001018,706,16774,2.0796100731112914,1231,6081,0.8951861978006905,0
1.0,-1.0,19,990001001019,697,16653,2.243478260869565,1265,6110,0.8690499153646902,1
0.0,0.0,0,1000000001000,714,17171,1.3713572023313905,1201,6257,0.8967990985677696,0
0.0,0.0,1,1000000001001,725,17171,1.3091633466135457,1255,6279,0.8966148001151504,0
0.0,0.0,2,1000000001002,715,17147,1.3583138173302107,1281,6225,0.8855481114885411,1
0.0,0.0,3,1000000001003,710,17143,1.377590176515733,1303,6196,0.8793668748052366,1
0.0,0.0,4,1000000001004,716,17143,1.3833199679230153,1247,6277,0.8771922480759553,1
0.0,0.0,5,1000000001005,719,17128,1.4188440221694378,1263,6262,0.8780719072279192,3
0.0,0.0,6,1000000001006,713,17175,1.3405797101449275,1242,6243,0.8967818070545167,0
0.0,0.0,7,1000000001007,716,17158,1.3859087269815853,1249,6218,0.865314065685844,1
0.0,0.0,8,1000000001008,711,17125,1.4010819165378672,1294,6230,0.8964760603049576,0
0.0,0.0,9,1000000001009,723,17172,1.3650920736589272,1249,6193,0.8964054474616786,0
0.0,0.0,10,1000000001010,719,17167,1.3890649762282092,1262,6184,0.8569050436031065,1
0.0,0.0,11,1000000001011,710,17169,1.3420221169036335,1266,6207,0.8960271623538978,0
0.0,0.0,12,1000000001012,716,17139,1.386100386100386,1295,6202,0.8965694369487318,0
0.0,0.0,13,1000000001013,719,17155,1.3650159744408945,1252,6248,0.8904308644915432,1
0.0,0.0,14,1000000001014,719,17139,1.3854084060269627,1261,6242,0.8901730629222232,2
0.0,0.0,15,1000000001015,716,17128,1.4109589041095891,1241,6288,0.8954404456378888,1
0.0,0.0,16,1000000001016,710,17154,1.3639937106918238,1272,6192,0.8607228139059842,3
0.0,0.0,17,1000000001017,725,17187,1.3664440734557597,1198,6205,0.8942036867878125,2
0.0,0.0,18,1000000001018,718,17148,1.367741935483871,1240,6249,0.8941663358824359,2
0.0,0.0,19,1000000001019,724,17144,1.3897233201581027,1265,6255,0.8961860279000196,0
0.2,0.0,0,1000000201000,717,17063,1.5409448818897638,1270,6194,0.8964559702777588,0
0.2,0.0,1,1000000201001,713,17039,1.5857026807473598,1231,6224,0.8329299540007243,3
0.2,0.0,2,1000000201002,715,17086,1.5382113821138212,1230,6165,0.8955824571768201,1
0.2,0.0,3,1000000201003,716,17078,1.5474209650582362,1202,6231,0.8965023341007574,0
0.2,0.0,4,1000000201004,712,17087,1.498371335504886,1228,6254,0.8959825313021954,0
0.2,0.0,5,1000000201005,728,17073,1.565252854812398,1226,6174,0.8596219266741013,2
0.2,0.0,6,1000000201006,714,17044,1.6171428571428572,1225,6167,0.8839292038085033,4
0.2,0.0,7,1000000201007,703,17041,1.597710547833197,1223,6188,0.8937404592133111,1
0.2,0.0,8,1000000201008,715,17090,1.503608660785886,1247,6179,0.8847232381504491,2
0.2,0.0,9,1000000201009,720,17050,1.5595813204508857,1242,6229,0.8759073784150673,1
0.2,0.0,10,1000000201010,718,17032,1.5606425702811244,1245,6256,0.8960874421395267,0
0.2,0.0,11,1000000201011,717,17104,1.4375,1264,6226,0.8787618083099268,1
0.2,0.0,12,1000000201012,704,17066,1.527331189710611,1244,6201,0.8966175855553864,0
0.2,0.0,13,1000000201013,712,17046,1.541471048513302,1278,6211,0.8904749937008589,1
0.2,0.0,14,1000000201014,722,17065,1.5277554304102976,1243,6248,0.895432444557502,1
0.2,0.0,15,1000000201015,726,17073,1.5219737856592135,1297,6141,0.8967931387972247,0
0.2,0.0,16,1000000201016,715,17070,1.5172131147540984,1220,6284,0.8967062224555564,0
0.2,0.0,17,1000000201017,705,17047,1.5130434782608695,1265,6274,0.8961613017340373,1
0.2,0.0,18,1000000201018,714,17112,1.5379310344827586,1160,6181,0.8954857274992266,0
0.2,0.0,19,1000000201019,713,17037,1.5711987127916331,1243,6251,0.8632871524125134,2
0.4,0.0,0,1000000401000,712,17014,1.6759493670886076,1185,6198,0.890091643069803,1
0.4,0.0,1,1000000401001,706,16953,1.7358184764991895,1234,6218,0.8958509379699813,0
0.4,0.0,2,1000000401002,723,16995,1.7376362112321877,1193,6144,0.8803407266233112,1
0.4,0.0,3,1000000401003,720,16931,1.821247892074199,1186,6227,0.8457616758280528,3
