remote_share,block_prob,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.8,0.02,11,202900,657,3.423076923076923,52,242
0.8,0.02,12,203000,644,3.392156862745098,51,239
0.8,0.02,13,203100,667,3.217391304347826,46,243
0.8,0.02,14,203200,647,3.7962962962962963,54,230
0.8,0.02,15,203300,642,4.1020408163265305,49,233
0.8,0.02,16,203400,657,4.166666666666667,42,248
0.8,0.02,17,203500,634,4.186440677966102,59,224
0.8,0.02,18,203600,658,3.608695652173913,46,245
0.8,0.02,19,203700,663,3.9523809523809526,42,242
1.0,0.02,0,202000,643,4.425531914893617,47,221
1.0,0.02,1,202100,636,3.892857142857143,56,229
1.0,0.02,2,202200,654,3.836734693877551,49,246
1.0,0.02,3,202300,665,4.90625,32,237
1.0,0.02,4,202400,631,4.163636363636364,55,234
1.0,0.02,5,202500,651,4.0,44,253
1.0,0.02,6,202600,656,3.813953488372093,43,240
1.0,0.02,7,202700,643,4.24,50,242
1.0,0.02,8,202800,642,4.4772727272727275,44,249
1.0,0.02,9,202900,657,3.9545454545454546,44,242
1.0,0.02,10,203000,663,3.1702127659574466,47,244
1.0,0.02,11,203100,660,3.28,50,240
1.0,0.02,12,203200,638,3.913793103448276,58,224
1.0,0.02,13,203300,635,3.943396226415094,53,231
1.0,0.02,14,203400,650,3.857142857142857,49,246
1.0,0.02,15,203500,636,4.51063829787234,47,225
1.0,0.02,16,203600,654,4.090909090909091,44,244
1.0,0.02,17,203700,643,4.361702127659575,47,234
1.0,0.02,18,203800,666,3.6666666666666665,39,246
1.0,0.02,19,203900,654,3.6595744680851063,47,245
0.0,0.05,0,501000,647,1.9579831932773109,119,235
0.0,0.05,1,501100,652,1.7890625,128,250
0.0,0.05,2,501200,645,2.1875,112,237
0.0,0.05,3,501300,647,1.9606299212598426,127,245
0.0,0.05,4,501400,657,2.034188034188034,117,245
0.0,0.05,5,501500,655,2.0442477876106193,113,233
0.0,0.05,6,501600,660,2.230769230769231,104,246
0.0,0.05,7,501700,650,2.092436974789916,119,237
0.0,0.05,8,501800,655,2.125984251968504,127,220
0.0,0.05,9,501900,657,1.991304347826087,115,245
0.0,0.05,10,502000,656,1.8771929824561404,114,239
0.0,0.05,11,502100,638,2.142857142857143,140,225
0.0,0.05,12,502200,650,1.9652173913043478,115,253
0.0,0.05,13,502300,654,1.846774193548387,124,238
0.0,0.05,14,502400,652,1.9307692307692308,130,221
0.0,0.05,15,502500,642,2.1166666666666667,120,233
0.0,0.05,16,502600,650,2.0964912280701755,114,236
0.0,0.05,17,502700,649,1.8644067796610169,118,275
0.0,0.05,18,502800,653,1.8120300751879699,133,237
0.0,0.05,19,502900,650,1.9152542372881356,118,236
0.2,0.05,0,501200,637,2.3781512605042017,119,234
0.2,0.05,1,501300,627,2.171875,128,239
0.2,0.05,2,501400,636,2.324786324786325,117,236
0.2,0.05,3,501500,635,2.4245283018867925,106,226
0.2,0.05,4,501600,633,2.456140350877193,114,237
0.2,0.05,5,501700,651,1.920353982300885,113,239
0.2,0.05,6,501800,623,2.7636363636363637,110,210
0.2,0.05,7,501900,621,2.6315789473684212,114,233
0.2,0.05,8,502000,647,2.135135135135135,111,236
0.2,0.05,9,502100,633,2.543103448275862,116,223
0.2,0.05,10,502200,636,2.4642857142857144,112,248
0.2,0.05,11,502300,619,2.4871794871794872,117,224
0.2,0.05,12,502400,624,2.7168141592920354,113,211
0.2,0.05,13,502500,635,2.237037037037037,135,229
0.2,0.05,14,502600,644,2.7222222222222223,90,234
0.2,0.05,15,502700,615,2.8737864077669903,103,261
